,date,id,argent_retire
0,2022-12-07 12:43:00,35,1190
1,2022-12-07 12:44:00,30,990
2,2022-12-07 12:47:00,8,1980
3,2022-12-07 12:48:00,9,630
4,2022-12-07 12:48:00,11,1560
5,2022-12-07 12:48:00,32,1280
6,2022-12-07 12:50:00,4,300
7,2022-12-07 12:50:00,28,1760
8,2022-12-07 12:51:00,13,1080
9,2022-12-07 12:51:00,39,490
10,2022-12-07 12:52:00,16,1310
11,2022-12-07 12:52:00,42,490
12,2022-12-07 12:53:00,7,1420
13,2022-12-07 12:54:00,12,1590
14,2022-12-07 12:54:00,35,1600
15,2022-12-07 12:55:00,4,330
16,2022-12-07 12:55:00,27,1410
17,2022-12-07 12:55:00,48,530
18,2022-12-07 12:56:00,3,30
19,2022-12-07 12:56:00,15,490
20,2022-12-07 12:56:00,43,710
21,2022-12-07 12:57:00,29,260
22,2022-12-07 12:58:00,23,50
23,2022-12-07 12:59:00,13,1980
24,2022-12-07 12:59:00,31,470
25,2022-12-07 12:59:00,49,410
26,2022-12-07 13:00:00,10,1270
27,2022-12-07 13:00:00,24,1150
28,2022-12-07 13:00:00,34,900
29,2022-12-07 13:00:00,42,620
30,2022-12-07 13:01:00,0,790
31,2022-12-07 13:01:00,26,300
32,2022-12-07 13:01:00,48,310
33,2022-12-07 13:02:00,2,1690
34,2022-12-07 13:02:00,5,1930
35,2022-12-07 13:02:00,47,220
36,2022-12-07 13:03:00,3,1350
37,2022-12-07 13:03:00,46,830
38,2022-12-07 13:04:00,36,320
39,2022-12-07 13:04:00,37,220
40,2022-12-07 13:04:00,40,1190
41,2022-12-07 13:05:00,31,110
42,2022-12-07 13:06:00,26,770
43,2022-12-07 13:06:00,45,80
44,2022-12-07 13:07:00,9,1180
45,2022-12-07 13:08:00,20,1260
46,2022-12-07 13:08:00,25,950
47,2022-12-07 13:09:00,2,90
48,2022-12-07 13:09:00,10,540
49,2022-12-07 13:09:00,27,140
50,2022-12-07 13:09:00,35,340
51,2022-12-07 13:11:00,4,1680
52,2022-12-07 13:11:00,38,1410
53,2022-12-07 13:11:00,41,720
54,2022-12-07 13:11:00,48,40
55,2022-12-07 13:12:00,22,870
56,2022-12-07 13:13:00,1,1040
57,2022-12-07 13:13:00,3,290
58,2022-12-07 13:14:00,12,550
59,2022-12-07 13:14:00,18,520
60,2022-12-07 13:14:00,32,1130
61,2022-12-07 13:16:00,14,310
62,2022-12-07 13:17:00,13,970
63,2022-12-07 13:17:00,20,1900
64,2022-12-07 13:17:00,44,1670
65,2022-12-07 13:19:00,21,150
66,2022-12-07 13:22:00,8,800
67,2022-12-07 13:23:00,19,650
68,2022-12-07 13:23:00,48,340
69,2022-12-07 13:25:00,6,80
70,2022-12-07 13:26:00,33,220
71,2022-12-07 13:26:00,49,1190
72,2022-12-07 13:27:00,3,430
73,2022-12-07 13:27:00,17,390
74,2022-12-07 13:27:00,30,1780
75,2022-12-07 13:27:00,39,340
76,2022-12-07 13:28:00,13,1090
77,2022-12-07 13:28:00,24,780
78,2022-12-07 13:28:00,27,420
79,2022-12-07 13:29:00,1,1420
80,2022-12-07 13:31:00,28,880
81,2022-12-07 13:31:00,36,1210
82,2022-12-07 13:33:00,14,680
83,2022-12-07 13:33:00,16,470
84,2022-12-07 13:33:00,19,250
85,2022-12-07 13:33:00,39,1340
86,2022-12-07 13:34:00,12,760
87,2022-12-07 13:34:00,31,240
88,2022-12-07 13:35:00,27,1200
89,2022-12-07 13:37:00,11,360
90,2022-12-07 13:37:00,13,1590
91,2022-12-07 13:37:00,29,1360
92,2022-12-07 13:38:00,7,1920
93,2022-12-07 13:38:00,15,1620
94,2022-12-07 13:38:00,43,1250
95,2022-12-07 13:40:00,3,360
96,2022-12-07 13:40:00,17,420
97,2022-12-07 13:41:00,2,1260
98,2022-12-07 13:41:00,23,460
99,2022-12-07 13:42:00,0,1010
100,2022-12-07 13:42:00,10,1690
101,2022-12-07 13:42:00,12,1140
102,2022-12-07 13:42:00,36,800
103,2022-12-07 13:43:00,1,750
104,2022-12-07 13:43:00,34,210
105,2022-12-07 13:44:00,18,1610
106,2022-12-07 13:44:00,22,80
107,2022-12-07 13:44:00,41,330
108,2022-12-07 13:44:00,46,1180
109,2022-12-07 13:45:00,8,1450
110,2022-12-07 13:45:00,24,370
111,2022-12-07 13:45:00,35,80
112,2022-12-07 13:46:00,31,1100
113,2022-12-07 13:46:00,47,1940
114,2022-12-07 13:47:00,5,1390
115,2022-12-07 13:47:00,19,690
116,2022-12-07 13:47:00,42,680
117,2022-12-07 13:48:00,12,1720
118,2022-12-07 13:48:00,30,710
119,2022-12-07 13:48:00,44,1380
120,2022-12-07 13:49:00,9,80
121,2022-12-07 13:50:00,24,1430
122,2022-12-07 13:50:00,34,1660
123,2022-12-07 13:50:00,40,740
124,2022-12-07 13:50:00,46,1620
125,2022-12-07 13:51:00,37,850
126,2022-12-07 13:53:00,4,1430
127,2022-12-07 13:53:00,17,620
128,2022-12-07 13:53:00,45,130
129,2022-12-07 13:54:00,12,1010
130,2022-12-07 13:54:00,43,630
131,2022-12-07 13:54:00,48,630
132,2022-12-07 13:55:00,25,1980
133,2022-12-07 13:55:00,26,1820
134,2022-12-07 13:56:00,0,1600
135,2022-12-07 13:56:00,40,470
136,2022-12-07 13:57:00,7,1370
137,2022-12-07 13:57:00,38,600
138,2022-12-07 13:57:00,49,570
139,2022-12-07 13:58:00,8,1710
140,2022-12-07 13:58:00,14,1350
141,2022-12-07 13:58:00,32,130
142,2022-12-07 13:58:00,39,790
143,2022-12-07 13:59:00,36,1800
144,2022-12-07 14:01:00,29,870
145,2022-12-07 14:01:00,48,920
146,2022-12-07 14:02:00,19,1480
147,2022-12-07 14:02:00,21,50
148,2022-12-07 14:03:00,5,1950
149,2022-12-07 14:03:00,11,1630
150,2022-12-07 14:04:00,6,1060
151,2022-12-07 14:04:00,15,490
152,2022-12-07 14:04:00,46,1500
153,2022-12-07 14:05:00,20,170
154,2022-12-07 14:05:00,44,1650
155,2022-12-07 14:06:00,32,1590
156,2022-12-07 14:07:00,18,200
157,2022-12-07 14:07:00,39,1610
158,2022-12-07 14:08:00,0,1880
159,2022-12-07 14:08:00,48,800
160,2022-12-07 14:09:00,41,110
161,2022-12-07 14:10:00,19,890
162,2022-12-07 14:10:00,33,1260
163,2022-12-07 14:11:00,4,540
164,2022-12-07 14:11:00,32,220
165,2022-12-07 14:13:00,7,1130
166,2022-12-07 14:13:00,18,200
167,2022-12-07 14:15:00,12,1630
168,2022-12-07 14:16:00,10,1670
169,2022-12-07 14:16:00,13,430
170,2022-12-07 14:16:00,28,170
171,2022-12-07 14:17:00,8,1320
172,2022-12-07 14:17:00,16,1940
173,2022-12-07 14:18:00,1,740
174,2022-12-07 14:19:00,5,400
175,2022-12-07 14:19:00,18,1580
176,2022-12-07 14:21:00,12,1480
177,2022-12-07 14:21:00,27,500
178,2022-12-07 14:21:00,37,1300
179,2022-12-07 14:22:00,2,1890
180,2022-12-07 14:22:00,17,1410
181,2022-12-07 14:23:00,0,1440
182,2022-12-07 14:24:00,3,70
183,2022-12-07 14:24:00,22,1270
184,2022-12-07 14:24:00,23,120
185,2022-12-07 14:24:00,28,780
186,2022-12-07 14:25:00,1,740
187,2022-12-07 14:25:00,5,1360
188,2022-12-07 14:25:00,31,1780
189,2022-12-07 14:26:00,32,1770
190,2022-12-07 14:26:00,43,1680
191,2022-12-07 14:27:00,7,490
192,2022-12-07 14:27:00,48,1640
193,2022-12-07 14:28:00,38,1390
194,2022-12-07 14:29:00,13,1230
195,2022-12-07 14:29:00,40,1350
196,2022-12-07 14:29:00,49,710
197,2022-12-07 14:30:00,4,390
198,2022-12-07 14:30:00,45,240
199,2022-12-07 14:31:00,15,640
200,2022-12-07 14:31:00,21,1410
201,2022-12-07 14:31:00,26,850
202,2022-12-07 14:31:00,35,120
203,2022-12-07 14:31:00,42,1730
204,2022-12-07 14:32:00,2,640
205,2022-12-07 14:32:00,24,1360
206,2022-12-07 14:32:00,37,1230
207,2022-12-07 14:32:00,47,310
208,2022-12-07 14:33:00,12,360
209,2022-12-07 14:33:00,34,1040
210,2022-12-07 14:33:00,39,1480
211,2022-12-07 14:34:00,9,50
212,2022-12-07 14:34:00,25,1570
213,2022-12-07 14:34:00,32,1430
214,2022-12-07 14:35:00,10,870
215,2022-12-07 14:35:00,11,780
216,2022-12-07 14:36:00,14,990
217,2022-12-07 14:36:00,30,1370
218,2022-12-07 14:36:00,35,90
219,2022-12-07 14:36:00,44,410
220,2022-12-07 14:39:00,15,1420
221,2022-12-07 14:40:00,6,1180
222,2022-12-07 14:40:00,18,1370
223,2022-12-07 14:40:00,38,620
224,2022-12-07 14:41:00,29,1440
225,2022-12-07 14:43:00,3,330
226,2022-12-07 14:43:00,20,1020
227,2022-12-07 14:44:00,31,220
228,2022-12-07 14:44:00,35,230
229,2022-12-07 14:45:00,6,600
230,2022-12-07 14:45:00,42,890
231,2022-12-07 14:46:00,5,460
232,2022-12-07 14:46:00,17,770
233,2022-12-07 14:46:00,36,1790
234,2022-12-07 14:46:00,46,540
235,2022-12-07 14:47:00,33,790
236,2022-12-07 14:48:00,19,90
237,2022-12-07 14:49:00,0,620
238,2022-12-07 14:49:00,1,880
239,2022-12-07 14:49:00,7,570
240,2022-12-07 14:49:00,41,1700
241,2022-12-07 14:50:00,10,810
242,2022-12-07 14:50:00,44,570
243,2022-12-07 14:52:00,2,1950
244,2022-12-07 14:52:00,9,610
245,2022-12-07 14:53:00,12,590
246,2022-12-07 14:54:00,23,1530
247,2022-12-07 14:55:00,21,520
